index,Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
442,2017-08-02,2472.2594284851007,2474.6281961420286,2481.874524958804,2461.651099907174,3804835460.9365997,3635760288.7493944,3410563782.4216185,2476.7459621529424,2469.729345430465,2471.7702682806257,9.296333522602708,42.79390585369381,10.962699730909744
443,2017-08-03,2470.8571907643677,2473.0781550462525,2480.95129715493,2460.028762200263,3683885972.542345,3677009500.2051926,3438888745.352997,2475.7055181043947,2470.8793627974205,2471.6297948165857,8.534878132166796,38.39373028847471,10.253618991431203
444,2017-08-04,2469.3277785125742,2471.3589089858797,2479.900199374074,2458.3056523890255,3548083090.368643,3688544221.1862717,3461884644.818303,2474.4131512929516,2471.8011413554514,2471.2756384621225,7.719028308951238,38.33666083244804,9.967197380771488
445,2017-08-07,2467.713006217721,2469.5182692699163,2478.748275708523,2456.5286983844067,3509042637.361763,3665195660.574669,3478285173.718358,2472.9091220143373,2472.486286401584,2470.727541193753,6.863049850614971,45.265035724977274,9.790837956260628
446,2017-08-08,2466.0534564545997,2467.605750538253,2477.522713488068,2454.7439530028864,3524474982.6131177,3614064428.7644935,3491767107.80669,2471.237855996466,2472.9310544523423,2470.008451233883,5.98181432693309,40.59613715629135,10.491250010010981
447,2017-08-09,2464.3902391650154,2465.6694533965233,2476.249498439123,2452.9955759221593,3465997646.0593743,3546296865.7890487,3503171410.948799,2469.4461074473647,2473.1363135154957,2469.144110915596,5.090540508048434,54.06777415288643,10.246864194353812
448,2017-08-10,2462.760197410313,2463.7567160477533,2474.95472840572,2451.3238884747666,3298785060.6164327,3469276683.403866,3507620119.747004,2467.5818196476653,2473.1076459199994,2468.1619703763217,4.204205375976926,30.04560064499981,10.920737847666318
449,2017-08-11,2461.201623828092,2461.9105096432777,2473.6630952768546,2449.766366980535,3139013126.9945445,3387462690.7290463,3500399351.517585,2465.692139779145,2472.8551842601987,2467.09114783044,3.3375414354472923,30.404129751278177,11.546477668599362
450,2017-08-14,2459.7442883466197,2460.172449378498,2472.39785620164,2448.353167241787,3112762539.8494873,3308206671.2265916,3483916212.8386855,2463.822975800861,2472.3934716675603,2465.960861756006,2.5042418831149007,43.14170341879939,10.96906377018451
451,2017-08-15,2458.4124220473946,2458.5749262294917,2471.1769270514874,2447.106527508673,3194989453.4327464,3242309565.390517,3466342522.1120977,2462.016810939109,2471.7408771043633,2464.7995633392966,1.716587749775499,40.07068332912283,10.48105965001917
452,2017-08-16,2457.2263173711876,2457.145373928413,2470.0174649680544,2446.043484916573,3236546172.072645,3196419270.593171,3453102335.6031127,2460.311995045487,2470.9191090662944,2463.6344485749723,0.9852995201426893,39.663016159339826,10.456153061446717
453,2017-08-17,2456.200344735498,2455.9050274214296,2468.9326651327115,2445.1742323919643,3146275331.3083787,3165917324.7315607,3441467014.536818,2458.741657320222,2469.9526778566214,2462.490740291976,0.3192804459858962,22.988600138939418,11.14378785101825
454,2017-08-18,2455.3505161882504,2454.8697745238405,2467.9361592275595,2444.5088708026037,2998473028.7799172,3137809305.088635,3424772561.5090246,2457.3335102963347,2468.8682971029007,2461.3922442760186,-0.27396048421314845,22.318898701475163,12.211745403695177
455,2017-08-21,2454.682376830099,2454.0534704797933,2467.0410030730973,2444.0484768369192,2930971211.1809125,3101451039.35492,3400699122.1057763,2456.1097145165936,2467.6943604777334,2460.3599569766466,-0.7889271961676059,25.664714101455615,13.35235580456744
456,2017-08-22,2454.201831879763,2453.4611523345125,2466.259014629482,2443.790724323949,2967087233.7535872,3055870595.419088,3373236579.5695868,2455.0869597375977,2466.4601415377865,2459.412553115588,-1.221734591074437,43.54501693875086,12.760072016977645
457,2017-08-23,2453.9037055253657,2453.092886734579,2465.5957155315036,2443.7258467183883,2990395845.2791133,3006640530.060382,3346279238.7979994,2454.276462298831,2465.195131736156,2458.5650381017076,-1.570687961895601,43.02381401612576,12.210094214215696
458,2017-08-24,2453.786736601612,2452.942096448505,2465.059008027054,2443.841766046446,2903558980.1895623,2958097259.8366184,3317575192.0443096,2453.6838761042463,2463.9282177941323,2457.8299147940006,-1.8355157538994717,37.630052351937266,11.992833064710863
459,2017-08-25,2453.842512706794,2452.9997170987976,2464.6536328395737,2444.1240716570082,2765465969.801473,2911495848.04093,3281328016.261221,2453.3098646192375,2462.6871664969167,2457.216468319046,-2.017634981365063,36.664138518689995,11.55069878286875
460,2017-08-28,2454.062825918667,2453.2521356320703,2464.3828583346985,2444.5569673779096,2727165331.0442038,2870734672.013588,3236397010.7924423,2453.1495976496926,2461.497852495371,2456.7312925651413,-2.1197531514367256,34.79291287946852,11.333990665486729
461,2017-08-29,2454.438869953099,2453.6853272300727,2464.2525893667644,2445.126183758702,2845668544.7288675,2846450934.208644,3189673880.945686,2453.194432628805,2460.384014825494,2456.3786121632884,-2.145605718957995,48.4572114658286,11.755489136353695
462,2017-08-30,2454.962425490109,2454.286092749565,2464.2673341637205,2445.8193716008886,3012013082.1165085,2850774381.576123,3150032762.0046816,2453.433073831802,2459.366909655871,2456.1607372904914,-2.0996441182633134,56.66071709359417,11.348581352860087
463,2017-08-31,2455.62717022229,2455.0407086500877,2464.4334641168375,2446.626701211937,3084763152.2318444,2887015215.984579,3120076620.989156,2453.852796272118,2458.465037336063,2456.0786500492295,-1.9866786790466904,61.97522282372704,11.010466004201099
464,2017-09-01,2456.430166683435,2455.9366138028818,2464.7577371856123,2447.542447252849,3059859930.712115,2945894008.1667075,3095665463.0063295,2454.4401756129355,2457.693922576913,2456.132729531415,-1.811476082428726,63.17751430727469,10.995996750868697
465,2017-09-05,2457.3728733156167,2456.967923066027,2465.251862720686,2448.5677890136653,3061993912.7955694,3012859724.5169806,3073313026.77802,2455.183333099727,2457.0664052667184,2456.3235208828305,-1.5783638200332462,52.267364098020266,11.000321726757779
466,2017-09-06,2458.4612557966007,2458.1305881144285,2465.927243685904,2449.7098280538917,3171913174.409268,3078108650.453061,3055684936.3678274,2456.072385276598,2456.5926471455273,2456.6524031772565,-1.2909164214397606,53.503086818873655,11.00433777579764
467,2017-09-07,2459.7048655419153,2459.4262975954007,2466.798016245636,2450.979283507633,3314452946.500975,3138596623.329954,3048107701.389908,2457.1004262457654,2456.280489355471,2457.1220127718193,-0.9517917115595083,50.93519967334492,11.008066964191798
468,2017-09-08,2461.113943728267,2460.860726629019,2467.878055229939,2452.3897623997536,3352072684.784485,3192058529.840482,3050772082.59831,2458.2644298415516,2456.1356898845343,2457.736155995888,-0.5628439871120463,50.18447127201322,11.062173465971766
469,2017-09-11,2462.7032859908563,2462.442102297163,2469.180999994235,2453.959866751548,3265047954.610588,3233096134.6201773,3057073823.9791126,2459.5655275404074,2456.1622695172287,2458.5003298412676,-0.12491354972235058,60.92234362196411,10.820568737362262
