index,Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
19,2015-11-25,-1.1940499183933455,-1.190796514949579,-1.1909834526221579,-1.191705285627275,-0.45738669125982057,-0.6442910925104564,-0.1259265258127068,-1.1846236161694612,-1.152057940773882,-1.175302644106881,-0.007940640864408044,56.85307081756667,44.82114575994227
20,2015-11-27,-1.1962877543037806,-1.193307325773778,-1.1935788702496641,-1.1941611679224413,-0.3894812153817283,-0.5954219685948162,-0.16053418131464722,-1.1877392180655661,-1.1561557169446053,-1.1785311225987116,-0.009026471129474967,57.56278457955086,42.36283052373484
21,2015-11-30,-1.198342449322633,-1.1956190256118884,-1.1960172483660996,-1.1965212178617055,-0.3047487375707822,-0.4981092528018478,-0.1860483131689727,-1.1905484636520398,-1.1602128786856245,-1.1815790190177764,-0.009938234374214039,50.002820419496004,40.34943073328409
22,2015-12-01,-1.2002188104734346,-1.197788637471065,-1.1983163618363342,-1.1987836738870923,-0.15405629269721588,-0.3791045765743415,-0.20207810888013253,-1.1931145749306613,-1.1642255610421213,-1.1844466792417239,-0.010689003795948615,60.82202586600242,37.62906794067959
23,2015-12-02,-1.2020882155017574,-1.1998219126083423,-1.2005356069221218,-1.201038452389087,-0.01042540688306326,-0.26321966875852204,-0.20745078697575262,-1.1954666832829308,-1.1681622932306162,-1.1871607617432673,-0.011304527774826933,47.72825325103149,35.54990650623375
24,2015-12-03,-1.2038853038688893,-1.2018696672489686,-1.2027603288000144,-1.2032875340035154,-0.0037071504596158465,-0.17248376059848108,-0.20572699129722474,-1.1976813137428084,-1.1719839177939664,-1.1897337682241322,-0.011801306855658611,35.640060108521524,35.52501857006113
25,2015-12-04,-1.2056129079154025,-1.2038912691977246,-1.2049055749524173,-1.205500292964334,-0.15696569534076504,-0.12598065659028843,-0.20667009996911853,-1.1997981024275977,-1.1756627528404744,-1.19217671279202,-0.012193847975625616,53.046378526505286,34.78755609258435
26,2015-12-07,-1.2075035596353296,-1.2058847092018454,-1.2071505954004103,-1.207805596400118,-0.3396521690931671,-0.1329613428947654,-0.21909022524089491,-1.201851239145589,-1.1791783629445942,-1.1945346892294522,-0.012513254426469889,48.205755863838576,34.10276950635592
27,2015-12-08,-1.2095498755755785,-1.2080323150972776,-1.2094176743515994,-1.2103187816608822,-0.4011977288974254,-0.1823896301348073,-0.24322023717252034,-1.2038999746708317,-1.1825435268475581,-1.196844717898087,-0.012784139334171662,44.827565752019794,34.12437270239776
28,2015-12-09,-1.2119310924093487,-1.2103565794717526,-1.2118450796546216,-1.2131100702944224,-0.323729530885157,-0.2450504549352261,-0.2710668100146879,-1.2060069080435138,-1.1857665403761177,-1.1991656985921273,-0.013040637521142706,40.42132906251301,34.73675070365136
29,2015-12-10,-1.2146872297168787,-1.2129814582822858,-1.214505619590055,-1.216267381435274,-0.21003458507871112,-0.28631594185904513,-0.29369217355497856,-1.2082292662501772,-1.1888739909099444,-1.2015536264574738,-0.0133128491904968,42.44114305054993,35.30538741910114
30,2015-12-11,-1.218077821015521,-1.2160160476141946,-1.217564304363415,-1.2200205271732263,-0.13560442624924124,-0.2820436880407403,-0.30729074380706084,-1.2106542219334713,-1.191888185670717,-1.204095810235635,-0.013644881579876866,32.40882786969118,36.87728751608463
31,2015-12-14,-1.2221005705457006,-1.2196522986062135,-1.2210540458848878,-1.2244109265187115,-0.0535903575286537,-0.22483132572783768,-0.311575315766756,-1.2134077398143446,-1.194841372234963,-1.2068657733602604,-0.014070426786728873,36.552035155351724,38.65326499085349
32,2015-12-15,-1.2268468879827323,-1.2238972096439567,-1.2250080280926587,-1.2295163485842036,0.12467561728080706,-0.11965665649219118,-0.30378338309689895,-1.2165807187236806,-1.1977770832992025,-1.2099397909944867,-0.01462210802027375,44.52467371893328,38.199460018648836
33,2015-12-16,-1.232377252480339,-1.2288548311900704,-1.2295359932244911,-1.2354595443757175,0.37699646776287205,0.020488543237414603,-0.27814363612450194,-1.220280369067344,-1.2007434427738564,-1.2133917081461563,-0.015328871875193162,54.16415602856679,36.58333945576329
34,2015-12-17,-1.2388488403968152,-1.234576580371697,-1.2347788366278054,-1.2422995839773838,0.5521855672025902,0.17293257369367487,-0.2325395553185769,-1.2245993934852266,-1.2037833974119185,-1.217308190030873,-0.01622416826910622,43.876284329819306,35.110198527937385
35,2015-12-18,-1.246083537127707,-1.241191581491268,-1.2407224660059872,-1.2500142656591802,0.5257445719637397,0.3052023733362711,-0.17456098497239353,-1.2296345002606412,-1.206956510671819,-1.221735166507309,-0.017317847311028034,35.486829858229314,34.872940087963684
36,2015-12-21,-1.2540059435556354,-1.2485707685299836,-1.2472824409231549,-1.2584759679685258,0.3328976069999789,0.38249996624199756,-0.11835048879561334,-1.2354181942453952,-1.2103064092143423,-1.2266999014378208,-0.01860935080751358,39.50234759036873,34.65262867941668
37,2015-12-22,-1.2625894866262788,-1.2566195348342772,-1.2543903811308055,-1.2676478733832461,0.13174331640733455,0.38391350606730307,-0.07430933928350922,-1.2419626592834594,-1.2138894819021586,-1.232221376082199,-0.020093867229967977,45.09284671863812,33.44477866256546
38,2015-12-23,-1.271794533851057,-1.2652964285172053,-1.2620410227020196,-1.2774606004384446,0.016747713647850132,0.3118637552442987,-0.04397945630300866,-1.2492509787488861,-1.217751234785669,-1.2383095542004847,-0.021762265718711093,52.0529949741425,31.3740460885234
