Date,score
2019-02-12,0.30723485350608826
2019-02-13,0.4169315695762634
2019-02-14,0.851902961730957
2019-02-15,-0.9006882905960083
2019-02-22,0.1914969757199287
2019-02-25,0.15374159812927246
2019-02-26,-0.6592253893613816
2019-02-27,-0.6766136288642883
2019-03-01,0.8868677020072937
2019-03-04,-0.18581120669841764
2019-03-06,-0.9585940837860109
2019-03-08,-0.9280311465263368
2019-03-11,0.2017598897218704
2019-03-18,-0.39481550455093384
2019-03-25,0.06559911370277405
2019-04-05,0.8686963319778442
2019-04-17,-0.9285717010498048
2019-05-14,0.2625308185815811
2019-05-17,-0.9343425631523132
2019-05-22,-0.8844352960586548
2019-05-24,-0.4951229393482208
2019-05-28,-0.8729695081710815
2019-05-30,-0.8409468531608582
2019-05-31,0.4566749930381775
2019-06-03,-0.009088292717933657
2019-06-10,0.8854501843452454
2019-06-20,-0.9423568844795228
2019-06-25,-0.9488937854766846
2019-07-01,0.901473879814148
2019-07-03,0.8067573308944702
2019-07-05,-0.9438203573226928
2020-01-24,-0.006232136860489845
2020-01-30,-0.7858057618141174
2020-03-04,0.8728247284889221
2020-05-26,0.2356874346733093
2020-06-18,-0.4542305171489716
2020-06-19,-0.6030472218990326
2020-06-22,-0.9115071892738342
2020-06-26,-0.8690253496170044
2020-07-01,0.014693910256028175
2020-07-13,0.7517057657241821
2020-07-15,0.9254933595657348
2020-07-18,-0.7440319657325745
2020-07-20,0.05989087373018265
2020-07-24,0.08115679770708084
2020-08-25,-0.2463478744029999
2020-09-09,-0.5645875930786133
2020-10-02,0.21395971377690629
2020-10-03,-0.808694064617157
2020-10-04,-0.035085082054138184
2020-10-05,0.6003478616476059
2020-10-06,-0.6665927916765213
2020-10-07,0.4138796478509903
2020-10-08,0.5181029438972473
2020-10-09,0.5152934243281683
2020-10-12,0.4403132696946462
2020-10-13,-0.43447160720825195
2020-10-14,-0.3860973119735718
2020-10-15,-0.4961344599723816
2020-10-16,0.5727665523687998
2020-10-17,0.06293559074401855
2020-10-18,0.9123647212982178
2020-10-20,0.4727993334333102
2020-10-21,0.17014452815055847
2020-10-22,0.5746272206306458
2020-10-23,-0.7178685466448466
2020-10-24,0.4520138204097748
2020-10-26,-0.909402589003245
2020-10-27,-0.07348631819089253
2020-10-28,-0.38844992717107135
2020-10-29,0.5908786244690418
2020-10-30,-0.9099636077880859
2020-11-01,-0.9546619653701782
2020-11-02,-0.18219272419810295
2020-11-03,0.4120026886463165
2020-11-04,0.27742624282836914
2020-11-05,0.5530921351164579
2020-11-06,0.5620177984237671
2020-11-07,0.04572073370218277
2020-11-09,0.5516697391867638
2020-11-11,0.014480600754419962
2020-11-12,-0.7518582940101624
2020-11-13,0.4633685126900673
2020-11-16,0.7340693473815918
2020-11-17,-0.09059096376101176
2020-11-18,-0.2591393142938614
2020-11-19,0.3514466881752014
2020-11-20,0.22999701276421547
2020-11-23,-0.1260269284248352
2020-11-24,0.42850374057888985
2020-11-25,0.1599204391241074
2020-11-27,0.26624921957651776
2020-11-30,-0.273152435819308
2020-12-01,0.3704516688982646
2020-12-02,0.12237421671549477
2020-12-03,-0.03598010540008545
2020-12-04,0.31371087829271954
2020-12-07,-0.4917783081531525
2020-12-08,0.3580248951911926
2020-12-09,-0.7705387473106384
2020-12-10,-0.23532329003016153
2020-12-11,-0.1732746164004008
2020-12-14,-0.02977135218679901
2020-12-15,0.5529810264706612
2020-12-16,0.33075884729623795
2020-12-17,0.7030802170435587
2020-12-18,-0.7365965445836385
2020-12-22,0.17010806873440748
2020-12-23,-0.43542611598968506
2020-12-24,0.21431803703308105
2020-12-26,0.07949665933847427
2020-12-28,0.5087711960077286
2020-12-29,-0.08973729237914085
2020-12-30,0.4610818823178609
2020-12-31,-0.27085113525390625
2021-01-02,0.08595852553844452
2021-01-03,0.06348227709531784
2021-01-07,0.90333753824234
2021-01-11,-0.640563391149044
2021-01-12,-0.1490307648976644
2021-01-13,0.41173044467965764
2021-01-14,-0.1315345366795858
2021-01-15,-0.8528328935305277
2021-01-16,0.01817064918577671
2021-01-19,0.3945193290710449
2021-01-20,0.24756451323628426
2021-01-21,0.11208030208945273
2021-01-22,-0.11111043890317285
2021-01-25,0.2049314181009928
2021-01-26,-0.7660195529460907
2021-01-27,-0.7499109692871571
2021-01-28,-0.020570109287897747
2021-01-29,-0.6094961961110433
2021-02-01,-0.09245474139849345
2021-02-02,0.4697021022439003
2021-02-03,0.08531095584233601
2021-02-04,0.3604316810766856
2021-02-05,0.11192046105861664
2021-02-08,0.3683339258035024
2021-02-09,-0.2637440760930379
2021-02-10,-0.266015370686849
2021-02-11,-0.1849992275238037
2021-02-12,-0.33270444472630817
2021-02-16,-0.38115136822064716
2021-02-17,-0.5268256850540638
2021-02-18,-0.8678794900576273
2021-02-19,-0.5265787144502004
2021-02-22,-0.8514978289604187
2021-02-23,-0.5185848275820414
2021-02-24,0.2897796829541524
2021-02-25,-0.9198250770568848
2021-02-26,0.10510822137196862
2021-03-01,-0.29558098316192627
2021-03-02,-0.3300366163253784
2021-03-03,-0.5872348546981812
2021-03-04,-0.4589587450027466
2021-03-05,-0.47687116265296936
2021-03-06,0.20441198348999026
2021-03-08,-0.38614946603775024
2021-03-09,-0.18201872333884236
2021-03-10,-0.4106256812810898
2021-03-11,0.46207882165908815
2021-03-12,-0.38235282339155674
2021-03-13,0.0969577506184578
2021-03-15,-0.12629189093907675
2021-03-16,0.029087493817011468
2021-03-17,-0.127909816801548
2021-03-18,-0.579645981391271
2021-03-19,-0.8886775374412537
