Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,score
1448409600,2047.6210797981014,2050.057677471557,2061.574772710722,2034.086214660028,3688110502.9744525,3502933300.4308176,4047090358.8812146,2053.781587210824,2075.5804029953206,2059.917979410107,-5.4477234084301935,56.85307081756707,44.821145759942475,0.0
1448582400,2046.4176353247612,2048.701699020991,2059.6117157822828,2033.0036990743147,3755930318.477944,3550141769.2696867,4010047443.289312,2051.906546248113,2072.9382875315328,2057.8410033969767,-6.121138866466026,57.562784579551256,42.362830523735056,0.0
1448841600,2045.3985123222967,2047.5400353402229,2057.8186176588238,2032.074997705731,3842323210.8245826,3647446695.9881096,3982266224.1685257,2050.288256600665,2070.3093216736806,2055.926774000872,-6.660284563226469,50.002820419496324,40.34943073328428,0.0
1448928000,2044.5330876921826,2046.5259678138684,2056.1744979509053,2031.2653020936248,3995975717.616325,3767523637.55188,3964213173.688417,2048.892673277961,2067.715033016117,2054.1738991841507,-7.075828204250684,60.822025866002505,37.62906794067972,0.0
1449014400,2043.7240966193467,2045.6260441424688,2054.6389125605647,2030.505073678715,4142517005.914925,3884971351.1616454,3957030164.275846,2047.6902847578212,2065.181870624851,2052.566237251104,-7.385295265515651,47.728253251031475,35.54990650623383,0.0
1449100800,2042.9600970963006,2044.7513879659052,2053.162970092001,2029.754804951472,4149275776.1064343,3977204405.7880416,3957145649.722543,2046.6290268566909,2062.73752389358,2051.0883695349803,-7.604538135689835,35.640060108521595,35.52501857006115,0.0
1449187200,2042.2120087634949,2043.8863803012432,2051.7558109719394,2028.9939491259522,3992348286.6929297,4024487999.431039,3954583135.008613,2045.6659631127413,2060.4025790170735,2049.722775570136,-7.749324774076741,53.04637852650544,34.78755609258433,0.0
1449446400,2041.357014914068,2043.003127656619,2050.3367108062757,2028.1403644903971,3805132136.7909617,4017049784.624315,3940368998.155765,2044.7585815760208,2058.1910656906603,2048.4357354692024,-7.842654843148012,48.20575586383869,34.102769506355855,0.0
1449532800,2040.3679692177882,2042.0015527301568,2048.9064353837935,2027.1176631037602,3741055585.9357204,3966065758.2881937,3914262492.7451744,2043.8536985592789,2056.1019707853666,2047.1945406612924,-7.9052999403495505,44.82756575201988,34.124372702397665,0.0
1449619200,2039.1549775032752,2040.845820662395,2047.401842332592,2025.8719572647892,3818849121.1906953,3901332181.3433495,3884367885.2106643,2042.897653863264,2054.131937363765,2045.9576847908286,-7.961054840563975,40.42132906251307,34.73675070365124,0.0
1449705600,2037.6748503940437,2039.4648391934147,2045.7709671083967,2024.3446245702235,3933305231.972774,3858138072.5166154,3859770910.2589674,2041.840344108766,2052.2674390914744,2044.6834025759383,-8.032086000835761,42.44114305055,35.30538741910099,0.0
1449792000,2035.8120875597765,2037.7942570333935,2043.9395022321619,2022.4258803595526,4007775654.032517,3861223545.9845343,3844343342.279417,2040.621919455196,2050.493038387985,2043.3185848811445,-8.144799916593229,32.40882786969121,36.87728751608447,0.0
1450051200,2033.549188228728,2035.7436883944335,2041.8770327453765,2020.07997135114,4089860955.6616783,3918169309.7586775,3838398883.8164954,2039.1700316027584,2048.786670021151,2041.8156007807725,-8.320806493334658,36.55203515535176,38.65326499085333,0.0
1450137600,2030.8367360664588,2033.2961039832776,2039.55735804348,2017.2634394665045,4270063476.8661475,4023970887.9447618,3844776226.781633,2037.4289418533829,2047.1198448071234,2040.126544670878,-8.580257328588687,44.524673718933336,38.19946001864866,0.0
1450224000,2027.6438831577966,2030.4016539958375,2036.924575451792,2013.920332663884,4525964679.419371,4165393999.5904975,3869381109.8764696,2035.340108520071,2045.4601822386096,2038.206135207327,-8.940450581645566,54.16415602856684,36.58333945576312,0.0
1450310400,2023.9155851678681,2027.0350202364318,2033.921154595206,2010.0283899575643,4703164760.799363,4319365905.355815,3914410421.022823,2032.8541447286746,2043.7762757262396,2036.0075890474102,-9.418181880739896,43.876284329819335,35.11019852793723,0.0
1450396800,2019.7243131576547,2023.1541056478425,2030.5483979734754,2005.6056908999274,4674524084.604529,4452715591.470218,3972142226.538869,2029.9261144515647,2042.030135816904,2033.5024696797552,-10.019489561691444,35.48682985822934,34.872940087963535,0.0
1450656000,2015.1203781959216,2018.819113846089,2026.842683877294,2000.7185562833404,4475174793.873008,4529778359.112484,4028111037.370896,2026.541199541896,2040.1895173303353,2030.6744556053195,-10.743682817940453,39.50234759036866,34.652628679416544,0.0
1450742400,2010.13353113996,2014.0862250628727,2022.8379757787466,1995.4058429932873,4267402337.7555385,4529246131.290361,4071701603.7687993,2022.6992237578147,2038.2186343621095,2027.5143133798792,-11.586446726098984,45.09284671863814,33.44477866256534,0.0
1450828800,2004.8063752185328,2008.9946164357311,2018.545862687812,1989.7222420903995,4147763026.0449953,4453605800.615487,4101325833.177744,2018.4178162457931,2036.0864658467374,2024.02078443198,-12.539650867521004,52.05299497414252,31.374046088523283,0.0
1450915200,1999.191664163505,2003.589875857945,2013.9882610433167,1983.7234281184344,4068783147.522613,4326729477.960136,4120359465.4051533,2013.7287873700961,2033.7630757660565,2020.2009197752914,-13.59145840302449,51.21646802707308,29.344317488048645,0.0
1451260800,1993.381822867053,1997.9366945213778,2009.2180673438504,1977.4924008825824,3950725792.650977,4181969819.5694256,4130099239.113805,2008.6853051448036,2031.2248255410761,2016.0749048663322,-14.724098844483025,50.75583234262186,28.00404628509748,0.0
